msme_id,google_rating,google_review_count,positive_review_percentage,review_sentiment_score,social_media_followers,social_engagement_rate,website_present,website_quality_score,website_domain_age_years,business_listing_consistency,digital_activity_score,public_data_last_updated
MSME001,4.6,180,91.0,0.75,8000,4.2,True,70.0,2.5,88.0,75.0,2026-06-30
MSME002,4.0,60,75.0,0.35,1500,2.0,True,55.0,4.0,70.0,55.0,2026-06-30
MSME003,3.0,5,50.0,-0.1,80,0.3,False,0.0,0.0,30.0,20.0,2026-06-30
MSME004,2.8,20,40.0,-0.3,300,0.8,False,0.0,0.0,35.0,25.0,2026-06-30
MSME005,4.3,95,85.0,0.5,3000,2.8,True,60.0,5.0,75.0,55.0,2026-06-30
MSME006,3.1,33,54.9,-0.12,956,0.79,False,0.0,0.0,44.1,28.8,2026-06-30
MSME007,3.4,59,57.4,-0.04,1620,1.15,False,0.0,0.0,50.4,35.8,2026-06-30
MSME008,3.3,81,63.8,0.04,2373,1.49,False,0.0,0.0,55.0,41.7,2026-06-30
MSME009,3.7,103,61.3,0.1,2873,1.76,True,42.9,3.8,54.6,44.6,2026-06-30
MSME010,3.6,126,67.8,0.17,3715,2.03,True,47.9,4.4,57.9,48.8,2026-06-30
MSME011,3.8,148,68.2,0.24,4460,2.33,True,51.2,5.1,62.3,52.8,2026-06-30
MSME012,3.8,165,72.8,0.32,4992,2.62,True,59.1,5.5,67.9,57.9,2026-06-30
MSME013,4.0,176,75.2,0.42,5293,2.9,True,60.3,6.2,75.2,65.8,2026-06-30
MSME014,4.3,197,79.5,0.45,5912,3.09,True,64.9,7.1,73.0,68.0,2026-06-30
MSME015,4.3,231,82.8,0.45,6706,3.23,True,70.1,7.6,75.6,67.8,2026-06-30
MSME016,4.3,226,80.6,0.6,7324,3.56,True,75.6,7.9,78.9,71.6,2026-06-30
MSME017,4.4,267,89.5,0.67,7816,3.69,True,79.6,8.1,88.3,81.1,2026-06-30
MSME018,4.8,265,85.7,0.66,8214,3.91,True,81.8,8.8,86.8,82.2,2026-06-30
MSME019,4.5,281,95.0,0.74,8728,4.19,True,82.0,9.2,85.6,82.4,2026-06-30
MSME020,4.6,297,96.5,0.7,8764,4.4,True,84.5,9.8,92.7,85.2,2026-06-30
